TimeStep,Spruce,Chipmunk,BlackBear,Berries,GroundSquirrel,Wildflowers,Coyote,Aspen,Deer,Bunny,Fox,FieldMouse
0,25,11,1,50,12,60,2,30,15,30,3,15
1,25,11,1,49,12,60,2,30,15,29,3,20
2,25,11,1,47,17,60,2,30,15,28,3,21
3,25,11,1,45,19,60,2,30,15,33,3,22
4,25,16,1,43,18,60,2,30,15,36,3,25
5,25,17,1,39,18,60,2,30,15,42,3,27
6,25,18,1,36,19,60,2,30,15,45,3,29
7,25,17,1,35,19,60,2,30,15,49,3,30
8,25,19,1,33,21,60,2,30,15,51,3,31
9,25,19,1,31,21,60,2,30,15,52,3,32
10,25,18,1,27,21,60,2,30,15,57,3,34
11,25,19,1,26,21,60,2,30,17,56,4,34
12,25,20,1,29,21,60,2,30,22,57,6,33
13,25,20,1,27,22,60,2,30,24,60,6,33
14,25,21,1,26,22,60,2,30,25,64,6,34
15,25,21,1,23,22,60,2,30,26,66,6,38
16,25,21,1,23,22,60,2,30,26,66,6,38
17,25,21,1,23,22,60,2,30,27,68,6,38
18,25,21,1,21,23,60,2,30,27,69,6,39
19,25,21,1,21,23,61,2,30,27,66,6,38
20,25,22,1,20,23,61,2,30,27,70,6,38
21,25,22,1,19,23,61,2,30,27,69,6,39
22,25,22,1,18,23,61,2,30,27,71,6,39
23,25,22,1,17,23,61,3,30,28,71,6,39
24,25,22,1,17,23,62,3,30,28,76,8,39
25,25,22,1,16,23,62,3,30,30,74,8,39
26,25,22,1,15,23,62,3,30,33,74,8,38
27,25,22,1,15,24,62,3,30,34,76,8,38
28,25,22,1,14,25,62,3,30,37,78,8,39
29,25,22,1,14,28,63,3,30,37,79,8,39
30,25,23,1,14,28,63,3,30,39,80,8,39
31,25,23,1,14,28,63,3,30,40,77,8,41
32,25,22,1,14,28,63,3,30,40,79,9,39
33,25,22,1,14,30,63,3,30,40,79,9,39
34,25,22,1,12,29,63,3,30,40,78,9,40
35,25,23,1,12,30,63,3,30,40,76,9,38
36,25,24,1,9,29,63,3,30,41,77,9,40
37,25,25,2,8,30,63,3,30,44,79,9,41
38,25,25,2,7,30,63,3,30,45,76,9,40
39,25,26,2,7,30,63,3,30,45,78,11,42
40,25,26,2,5,29,63,3,30,47,79,12,42
41,25,26,2,5,29,63,4,30,49,82,12,44
42,25,26,2,4,29,63,4,30,52,82,12,43
43,25,25,2,4,29,63,4,30,55,83,12,44
44,25,24,2,4,29,63,4,30,55,84,12,46
45,25,24,2,4,29,63,4,30,56,86,12,46
46,25,24,2,4,29,63,4,30,57,84,12,45
47,25,22,2,4,29,63,4,30,58,85,13,43
48,25,23,2,4,29,63,5,30,58,82,13,43
49,25,22,2,4,29,63,5,30,59,84,14,41
50,25,23,2,3,29,63,5,30,60,82,14,40
51,25,23,2,3,29,63,5,30,60,83,15,38
52,25,23,2,3,29,63,6,31,62,83,17,38
53,25,23,2,3,29,64,6,32,63,82,17,40
54,25,22,2,3,28,64,6,33,63,82,18,36
55,25,21,2,3,28,64,6,33,65,84,18,35
56,25,21,2,3,28,64,6,34,68,84,18,34
57,25,21,2,3,28,65,6,34,68,84,18,33
58,25,20,2,2,27,65,6,34,71,79,18,32
59,25,21,2,2,27,65,6,34,73,75,18,31
60,25,20,2,2,28,65,6,34,74,76,18,32
61,25,20,2,2,25,65,6,35,75,77,20,31
62,25,20,2,2,25,65,6,35,76,77,21,31
63,25,18,2,2,25,65,6,35,78,77,21,26
64,25,18,2,2,24,65,6,35,79,78,21,26
65,25,17,2,2,24,65,6,36,79,78,21,26
66,25,16,2,2,23,65,6,36,80,78,22,25
67,25,16,2,2,22,65,6,36,85,78,23,25
68,25,15,2,2,22,65,6,36,89,77,25,24
69,26,15,2,2,22,65,6,36,91,78,27,24
70,26,15,2,2,22,65,7,37,94,78,29,24
71,27,13,2,2,21,65,7,36,95,77,29,21
72,27,13,2,2,19,65,7,35,98,77,29,22
73,28,12,2,2,19,65,8,35,100,76,29,22
74,27,12,2,0,17,65,8,35,101,76,30,21
75,27,10,2,0,17,65,8,34,102,75,30,21
76,28,9,3,0,17,65,8,34,103,75,30,21
77,30,9,4,0,16,65,10,34,105,75,30,19
78,30,9,4,0,16,65,10,34,107,76,30,18
79,29,9,4,0,15,65,10,35,109,74,30,17
80,28,9,4,0,15,67,10,34,109,74,30,16
81,28,9,4,0,14,67,11,34,115,73,30,15
82,26,7,4,0,14,67,11,34,118,71,31,14
83,27,7,4,0,13,67,11,35,126,70,32,15
84,27,7,4,0,13,67,11,35,129,69,32,13
85,28,7,4,0,13,67,11,35,133,67,33,13
86,28,6,4,0,12,67,11,35,134,66,33,13
87,28,6,4,0,11,67,11,36,138,64,34,13
88,28,4,4,0,11,67,11,36,138,62,35,13
89,28,4,4,0,11,67,11,35,142,59,37,13
90,28,4,4,0,10,67,11,34,142,59,37,13
91,28,4,4,0,10,67,11,34,144,58,37,13
92,28,4,4,0,10,68,11,34,144,55,39,13
93,29,3,4,0,10,68,12,35,152,55,39,13
94,28,3,4,0,9,68,12,34,151,55,40,12
95,29,3,4,0,8,68,13,34,153,55,42,11
96,29,3,4,0,8,68,13,34,163,54,44,10
97,29,2,4,0,8,68,13,34,165,54,44,10
98,28,2,4,0,7,68,13,34,171,54,45,10
99,28,2,4,0,6,68,13,33,174,53,45,9
